line,firstnum,lastnum,calibration
sixsrvldfour4seven,6,7,67
53hvhgchljnlxqjsgrhxgf1zfoureightmlhvvv,5,8,58
fives2dznl,5,2,52
twocrqvjsix5threethree,2,3,23
gtjtwonefourone6fouronefccmnpbpeightnine,2,9,29
seventdtrcseveneightsevencgjgjxfpmfsix8twones,7,1,71
fourthreeseven1grvhrjxklh3ninetwothree,4,3,43
fourninethrnnth8,4,8,48
two2hnxcfivejrdjxtb,2,5,25
bssbrgcx86vsmqstrxsjbjeightqzhbzxqg5,8,5,85
rsevenbqjfxh23rzdgcmdleightsixknpfs,7,6,76
jprxbcghdgxhk9x,9,9,99
8czzpmvgmlchnkf,8,,8
vdrtteight85hlkninehgnblqnsdnineeight,8,8,88
fivetwohlxdql43kfzzbhtncg,5,3,53
lmhtwoneghgtl2,2,2,22
drtfsfhtbgfourpfpcznzrsix33,4,3,43
pptqkrdbeighteightsixdlsixkrlhr2,8,2,82
57threetwo,5,2,52
qoneight367gqbpbtbffivetlhrdjgnml2d,1,2,12
ninevdnzxsxone3,9,3,93
3threeqzrmfndfiveeight4,3,4,34
rmthreethreefourtwotkpncxpmctkxjhzxg5,3,5,35
nsfrpl6lkqrrmlxhrxmngzjtzbpsjgeight,6,8,68
9twobfknine57sixfour7,9,7,97
7one83sixthreecllxjnphb,7,3,73
82nhxcjnck1,8,1,81
5zrffive,5,5,55
bgdzqqpninefourjhtcjfjmxrmqhgz7fxnjrjfivetlpbddcsfs,9,5,95
xmbgqfhxx1sevenkfnqztfourzbngv,1,4,14
6onethree,6,3,63
1przkgcft77xblxkxm,1,7,17
hnjslmc96,9,6,96
fourktlnine59,4,9,49
7twoxthree,7,3,73
9twofiveonetwo5bnl,9,5,95
6cbzmrg1three7,6,7,67
fbndztsthreefourthreefgj1eightrffdbpsn,3,8,38
4zpqnskhnqjbjlhbbsxsmk,4,,4
seventhree1fourbvnbbsbkl5,7,5,75
five42jkbzqcnblr,5,2,52
357,3,7,37
543cshpxrfnnhonetkbhxtmlgczdndqjscb,5,1,51
2mpftseven,2,7,27
44five8nineeight,4,8,48
rmgrljrljb8hxxfmdpbbvmblltxfive6mdsmm7mmpk,8,7,87
nprsix6,6,6,66
five4vkqrsixmjkjps,5,6,56
kfivebrlzvc1twoseveneight,5,8,58
lqnjsixtwo7fourbmbxnr9dqmpbbfkfive,6,5,65
1ccsvvrrvjseight9nzgnldhzndpvdzcncl,1,9,19
zdzlsix9rjvninehsix4,6,4,64
fsevenfour8four6three,7,3,73
eightrmvsq65mpvffkkhxc6seveneight,8,8,88
sixrmgchvfttpbsncc5hnine,6,9,69
147,1,7,17
57gsdhqjbrfsskhmtcbszmjmhrxg7,5,7,57
sevenfive31twomhkhttdprdnzlng7three,7,3,73
3spgnkpeighttwotwo4,3,4,34
psxlxdjrtmgpveightxjkxhmbeightsix2,8,2,82
five53vgqcfmgqlm5dkchcmfkclpfxntbf,5,5,55
76sixmgqgftzfive4nfsqhkqvptnnshqlhd,7,4,74
sevensixsevenone7xbsxvdpdtc,7,7,77
nine3sixfourtwo6mpmpjb,9,6,96
eight4sevensixfour7dtgrvpq,8,7,87
1sixnceight1bg,1,1,11
79xfftvpvfour,7,4,74
noneight3,1,3,13
twoxdhkkgxhvz5three9seven8hszqdvnhr,2,8,28
kbpc9kqvhonelljprfs4pzcnpfrdssfivetwo,9,2,92
four4eightseven,4,7,47
5three95cqs65nine3,5,3,53
72sevenrkcqmqbscp9kzjxrg8d6,7,6,76
5rjbzpghninexfzvjpqmt9eight,5,8,58
jfjrvzcjkrkd1eight,1,8,18
six4ccvbclxkkntzmgthreercsjbznfive,6,5,65
xkqdtghlshthreeninefive53three,3,3,33
one3fgcsrxk1,1,1,11
1foursevenmvmzpvkqseven351,1,1,11
858qqbkgjxqfive,8,5,85
fkpd4three8sixlkttgnfzc,4,6,46
btpmrzqmsevennine3f6,7,6,76
61nine,6,9,69
fourone7fsfxfrlqzvbqjpccfour,4,4,44
five85sseven7jxlpl,5,7,57
kzgszphcpfoursevenlzlkqmjndz4ninelnine,4,9,49
4eightld,4,8,48
five8dqzlzfnine,5,9,59
6zjsqxqnineplbqhxltmffour,6,4,64
1fivebfoursrdcfive,1,5,15
8678fourgzdhrtrtwothree,8,3,83
847,8,7,87
fiveeightdseven5fivefivecbdrrbnng,5,5,55
5qddhnzxlhqeight2sevenln8nine9,5,9,59
13kxvqlvt7xvcksdthreekfqc,1,3,13
1threehqshd9two19,1,9,19
twogcphmsspeight7,2,7,27
1pnktcbbpkmeight42hcgfoursix,1,6,16
nineninepdxqg4xspkqjneightchqxptninegcckrbmsvk,9,9,99
fnine5ninex1eightgdhpkngmgq,9,8,98
jlgvcn73three,7,3,73
twoljsp5,2,5,25
xlf52twovcnnjglhmm,5,2,52
lmonesix1kfhbpdntpthjkl,1,1,11
89six6threegmfqlone,8,1,81
ninefbdvbhrgfivesevenzsjlt5tqkzfxb9,9,9,99
pvfoursixgdtvxxvlnx8kgsj,4,8,48
9fpjsnheightfivermpxrkddczvzqbdbs,9,5,95
92zhksstbzr,9,2,92
fvxeightwoddrhpfsevenmlkp178,8,8,88
2ntqvj42eight6,2,6,26
46xthree26snkhxmmzknhrvsfrprch,4,6,46
lvcfiveseven3plzlsvmm,5,3,53
three69,3,9,39
scrkglnine1,9,1,91
fivemlvcpxfcggllpnpsdjmnhhkfkbtmcfone2,5,2,52
7tseveneightnmjqbsfgh,7,8,78
onegbdpmtwo39nvbdl2,1,2,12
532rg,5,2,52
3cpjksevenonejjndff9six,3,6,36
4nbtbrmtxmpcnvkjsgseven,4,7,47
2brfkknktcz,2,,2
ghtshqhnmvmgdps6rclhhsix,6,6,66
eightj4hnnsfssqqmfourgdrmgcljdnslrhmkc,8,4,84
seveneight5pdzgpjvzlsxkjpflkjbzqhrfdlbskfbnbkcpl,7,5,75
six5gqjlsevenfnffpl2hrdrvrdthreeb,6,3,63
137nineone81one,1,1,11
gnrxrnqjdtxvcbggcmcfshz8rrkfd,8,8,88
nrlccp4szxqgljj31,4,1,41
622kvttthree3jfd,6,3,63
8zqgbdc,8,,8
rmczlxrvjpp79sevenonefourmmjvgthree,7,3,73
3fournine185sevenrgtrrpgjf,3,7,37
five282six,5,6,56
three7xcqlxd16sixktfmxslk,3,6,36
6vrzsmsv8,6,8,68
4twodqjxsbklhjtfthree,4,3,43
3dmxljghfourzkvxq3,3,3,33
4lveighteight51tfgbbfour,4,4,44
csfkthreesixxcfpdone3tvscpp8three,3,3,33
vhmkkks6glrlpv,6,6,66
eighthnine1rsmbpndnqqgds,8,1,81
7tnbhktwofive84seven,7,7,77
3kjpxgrlmstnxxdnqgpgjhcttlmnineninesix5,3,5,35
2eight4264,2,4,24
twoqmvnmxstnqfour8d621kxktzk,2,1,21
pdksthree5gzpvlmjmfourtwocfbsthree,3,3,33
rtvtffd6fivefive,6,5,65
onemxrpmlxsbd9drnsfive3,1,3,13
zfjqcthreesixoned1sixsx,3,6,36
flsevenvqctldf6,7,6,76
1seventwoeight6,1,6,16
xxktlvdcdtstsqjmd47onell5,4,5,45
6tbvxcgddrfjnhgntrthreegx4,6,4,64
rfxjvdllvzv2dshhdtjvbxvsqmq4ninegp,2,9,29
five7bjzhkmmfnhcmnfljlhb6bptflhrrvgfour,5,4,54
ltzlonenine5six,1,6,16
nineeight49,9,9,99
fqcdtgtb9sevenrnsgx4,9,4,94
eightlfdmv5threehrrkvhzhhxmzprz,8,3,83
2dglljrllsix,2,6,26
sevensixxnlb473twotwopgjxgp,7,2,72
5sevenrkhk,5,7,57
9eight3,9,3,93
7one5four,7,4,74
lh5jzqxeight84,5,4,54
385nslvbjqvkxvvcprqghxccv87fpmqfhnlv,3,7,37
ngsjdpvv72sixmbtr,7,6,76
xvslr642,6,2,62
mrjhmtnhx2,2,2,22
gsrbhmh5fiveoneqhhmsmkrbc3sixtwoeight,5,8,58
mnxvtn3vtqhxsrfivefive57qrmhshkk,3,7,37
9vkghgztxdzcvl7dlthreefmklvsmhxnqrtzzsvvq,9,3,93
djclthdptrk8fournineqvnrrlbjjhtwoeight,8,8,88
79pnt9one9,7,9,79
mlcxcrjzpvlkkdpmmsevenone6npd,7,6,76
fivefiveninezhppshtks1kqtkss,5,1,51
7nine46cxzcjhbnbg5,7,5,75
fourqhbr5cqbdmvps,4,5,45
pqvzfrt7ftplx,7,7,77
265pninenine5twofive,2,5,25
four41,4,1,41
1fdgcmbc1onepcktj3seven,1,7,17
5twob,5,2,52
two1sixc7znfhkhzgzzjzf3xdbqtdspv,2,3,23
vqkg7sixrntjjzc,7,6,76
7one9zdnnqtbbq4gkkkdskbtlqspsmx1pphnh,7,1,71
xgsix2hltpnqxktwo,6,2,62
gmhmskd37nqk7q8,3,8,38
onezxllhcpjfkeightsjvvpmcztdndf8seven,1,7,17
ninenmrljg6fivegmtzhflztxn,9,5,95
nmzqxlx387eightczpsgxskfzklk9,3,9,39
1fournine7cgtmr2lsvljtp2,1,2,12
98lzz1sixfour1three6,9,6,96
one8ninetwo,1,2,12
4xcrhxlvsr7,4,7,47
8two2four,8,4,84
ninefninefour5qlxbmk51,9,1,91
hhlflbbmbd29jrjrbx5879,2,9,29
six3djmgs,6,3,63
cfivevgzckfqcg6ninesixfvlkpm,5,6,56
449honexjqtrxveight3nzzx,4,3,43
threetwo22,3,2,32
d6seventhreeeight949,6,9,69
nllbxt3qspvt6sixgglvfcfivetwo,3,2,32
jhfrfgjjtsseveneight76,7,6,76
gjninestxljz88six2,9,2,92
5rsqhsx9rnd,5,9,59
7three72sixjkxlnpt,7,6,76
dhkfvps9,9,9,99
onefive7qdvbqjxzk,1,7,17
7sevenldcfd7,7,7,77
twoeightpjpkcjvvbfseven6,2,6,26
six1eight9five29,6,9,69
hgdztcbpx4sixseven1fklt8six,4,6,46
6six7kjlpmld1,6,1,61
twolpxfhllfllkcksvsllbtvjsll2bjq,2,2,22
2nine7nine79fourfourbtqd,2,4,24
tjfsmthreeoneninendd6two,3,2,32
2five1,2,1,21
1seven1jrgtkcfsjfbfrmsevenfourlvbgbknn,1,4,14
79twolthjsjnbrthreerdmbk3,7,3,73
sevennine6432,7,2,72
1hjtcnjztkvjspr7,1,7,17
seven84dlbb1,7,1,71
two78threevdhgqfzt,2,3,23
7bmln29onezlxtzthj7fzpvnxllz,7,7,77
nldvscqn9hfnthreesevenonetwoflbrdnhq,9,2,92
sixpkx7eight1ctbhdf34,6,4,64
rprprpmfour3fivevxqrqrqp4tghglvssfive,4,5,45
gpxjnsrsonezn1bht,1,1,11
2three4ninebnfzzxzl8seven,2,7,27
two23one2,2,2,22
9sevennmxmxvzcpt3hgsprhmvtxbqvbn2three,9,3,93
69threeonervrxqdfive,6,5,65
scjjqgrbnnsztvmbtninethree74two2,9,2,92
one7nkbn6nine,1,9,19
nlmdfshone2eight11sqhsftrg,1,1,11
fxt4twofive3sevensevenxq,4,7,47
three6zfzpdmrpbr9289vszpcqkq,3,9,39
8threebqzbpz3,8,3,83
plpnsfour6,4,6,46
1twonetdm,1,1,11
oneseventwo4x,1,4,14
fourhmprhkfgdkgqznineeighteight2,4,2,42
984mrrqjhzc3dsqpjvrpctvbtk,9,3,93
onenjdmrjfdjznrffive73fivechpxdpnqbnpq,1,5,15
4mhjzvbgnxpq1jfllblcjkbxzrt,4,1,41
threeblztlfgltlznxv9cqsjfnmgftnmscjmxpmfkleight,3,8,38
jtvjjrjnf2two,2,2,22
8oneseven3djtdzseven3,8,3,83
bctvlxxxgtp4,4,4,44
onenrncdseven2foursixone,1,1,11
sevenseven1,7,1,71
cfhszdltcqkllpqbfive6sevenqjqphqkhhjsixbvblzhgfp,5,6,56
dpzbcnbdzzninev6eightlk,9,8,98
eightjznzkdg53fourninebsfdzqpsix,8,6,86
four4s88fdxtnt3six,4,6,46
nine33six15five6,9,6,96
eight3five26jdrrmvnzgxm,8,6,86
zjzpg4onesixseven,4,7,47
99fourfourtwo,9,2,92
xlxmvkdkvrfrddhvgmhrqllvcpsnine2,9,2,92
fourfour1xfpdnfqvcklf,4,1,41
ninethree7one2czbtzzfkz,9,2,92
two41hgvsfzmtcz13,2,3,23
sevenfour2sixq,7,6,76
seventdnjmqhbmm3zgffshmjlzcjcvbl7mzc,7,7,77
khthzgjkzdkgjzxlkrvd4fivezq5,4,5,45
fiveseven4onefourxtrfournine,5,9,59
9onexh,9,1,91
83ninet3drmkrtpdc6pmdrvdbx4,8,4,84
twofvxngqdhlpstlhfhxonegrrzfbsv7,2,7,27
seven3fivethreepqzfl7,7,7,77
56two229,5,9,59
djrthreethree3seven4zxlfntgssq,3,4,34
three3mdkbtxkkfour2gtpgcktqflrfs,3,2,32
711q3ninevbsg2,7,2,72
ninethreenfone4eightseven,9,7,97
onexfxnine64fivefour,1,4,14
foursqctmzlh64eight,4,8,48
8one4mslnine65fnr,8,5,85
9mbgn42bfhbfive79,9,9,99
75kdhhfllf1onesevenssvztltg24,7,4,74
jxrpsflt52jz246five,5,5,55
dlvhq4pzxcstjtxq9,4,9,49
lgnxqnhjsbsixpm24two,6,2,62
3sevenfiveltdmfzlq842four,3,4,34
threetwosix39foursixthreethree,3,3,33
nine12bkhqklpfour3,9,3,93
73534two1,7,1,71
nhkbzfmgdhjjhggfivebncmnbskphsixnine2five,5,5,55
xxzvlxmdtwo8threerbtwo1eight,2,8,28
5bvzltnmqgnfqvqk3fivefhhhhnb,5,5,55
qthree1fivettjdpgnmkcfive,3,5,35
tknsqnjjczfbgshtvpdchpb6fngjztk77four,6,4,64
1five2seven1rsqfsrxfcmnxtqj7nxzcc,1,7,17
lcvzgqpmlgonefourseventwosixnine8,1,8,18
ssqcjzpjb5five5two,5,2,52
seven7nrgglcjfour3two4,7,4,74
five4fivexnbnoneninengqngmg,5,9,59
8fiveltmhtwo,8,2,82
jzmqtqbzh1,1,1,11
1fourthree,1,3,13
2eightfoureight2,2,2,22
7nzkfvzfivemchbf,7,5,75
7four2tpfvmjgdseven7,7,7,77
1dzfpxmpxjscclshsixknfmgrpvptdf,1,6,16
rm4618bkgpgmrhdldbftqzssbzsqxsix,4,6,46
fivemmfxdgqpj7sevensh1nine,5,9,59
qgqxznine19sixeightone,9,1,91
one7sevencnpdqmv,1,7,17
vgm8four5ccrcnbddv2,8,2,82
28gxkg245hpmd,2,5,25
ngvvdk41eighttwoseven,4,7,47
1nine54,1,4,14
onehcvdnt7twonflthree,1,3,13
5nineseven,5,7,57
8x,8,,8
fiveznsz56,5,6,56
mplrzchnhjgxfmqbpfdm7kzrfour4threehjt2,7,2,72
gdvjfqsqmnine67jlh9,9,9,99
4tphmcfm33sixvgonefour,4,4,44
61fourthree7ninethree,6,3,63
five4qsk42sixmxdrqcndcmvxcfqv,5,6,56
rkrstzqone3bjjpgfrgg4859,1,9,19
2oneqlsmvzznsxninefivesixksshvprpfive,2,5,25
6fouroneoneqffour6jpfqpvcmx,6,6,66
xshcfrdxnlv125nineone45,1,5,15
jqdvfiveglxjpbvzch9,5,9,59
6jqmjmqznqmxkztdgzb,6,,6
tzjfdrzvzfivejsv49eightwozmf,5,2,52
rslmsmj4vnq71eightfive,4,5,45
vbmbfkfour26sz9,4,9,49
6two769hffxnbnineeightnine,6,9,69
9five3hqjdvxlmvvckndzhsix,9,6,96
jtknzpnbqpfgtdbnxkbthsix78,6,8,68
fivethreerht48llrprvphts9cd,5,9,59
eight19,8,9,89
sixone66six1seven,6,7,67
fsgtskzsk9eight6,9,6,96
2gb,2,,2
onecone79g8,1,8,18
vgfqd49mk26qmxhqb,4,6,46
lclctndpsffrbdmztb8,8,8,88
1seven4,1,4,14
thxj66ffbzzkz6twolzsbqseven,6,7,67
2lrgrrhceight,2,8,28
332three9,3,9,39
dmtwonegppvjcmj2sqplmshfsd69,2,9,29
fqdmgxtwotmzrb549six7seven,2,7,27
87kkcbqvfftwomxsixsevenfrhlthree,8,3,83
82l15vjddqclrtttsm,8,5,85
2gjb3qhxvdrblq1,2,1,21
three4xvqb9nineone1fxsvj,3,1,31
921,9,1,91
4xzzdgzpklltssh95two,4,2,42
twoonejsmrddbtcng8zbhfbqvblbkmcpxst,2,8,28
8five949,8,9,89
pmpv69fourddfxzrvphdsxz6,6,6,66
seven6cnkkgphkdmvnxnxfvkfcmgthree,7,3,73
98three,9,3,93
threert9rfsix244,3,4,34
18jnzxfivefour1sixthreefjngk,1,3,13
543vlxckcffkj,5,3,53
crxdmtzone1,1,1,11
t99vqbpprvvzq3fz,9,3,93
1mfourdvpfour5dzzdnjbdfxchkgpbnlss,1,5,15
five11six5,5,5,55
9bbvmmxkfzldhjfghnlsevenfour3slnp,9,3,93
twokglseven1qqhsp57clctgc,2,7,27
kmtrnineseven6one2,9,2,92
four1rg8five,4,5,45
threefour5sixsix,3,6,36
mdvrfdcxndd1,1,1,11
hqtsplgzqbrxbbstwolzrjcnqf3threeq,2,3,23
drhoneight7bnjh3fiveninejlqlljd,1,9,19
fivefqqfcmzdfour1,5,1,51
94thphvvkmkhpdnqsrh,9,4,94
bsqhfjk3zxzhtqfncc7lcbzpgx,3,7,37
threezzjnlpgxhsfxmjl9588,3,8,38
fourfourn279six,4,6,46
fivevxzjpss5eight,5,8,58
5fourc8fivenine9hmdgxjeight,5,8,58
3threeninexjbzmsgrhkzxscfhddhsixtwohcgjfdszpxjsp,3,2,32
sixknhkfsmqvvvone9jhfxjpr,6,9,69
8bxgmbbdmrvpjfxbzd,8,,8
1dpxrdfvp3two8one8one,1,1,11
threefbvbfkk3scsbr,3,3,33
gvmrjgjkdppdc9one,9,1,91
133gglhlfprmtnqb5four,1,4,14
vtzddchxktgsshpztmpxxvrhsjq1fkstwo,1,2,12
8one5krgr55,8,5,85
twofive8nine5,2,5,25
pnjpkthree47eightjbsdz72,3,2,32
sixonefhltgkbbbt8eightthreefour3,6,3,63
72gbr5,7,5,75
38mqgkbbkhbksqxfive61,3,1,31
8ckhzckrkq88threessqqcpbnonejtxkxbbfive,8,5,85
5threetwocrfsxsnf643,5,3,53
9tlgcxkr,9,,9
threehbmttm59sevenhfourhpqrjqj,3,4,34
dfbqxtzkkpfseven42sevenseventwo,7,2,72
86eightfvxgfjzrf,8,8,88
vxfl4,4,4,44
three4bshflzvvdnbeightfqdlqnvlrkdxrtnpjcqn,3,8,38
5sevenpxdrhmjbgdgpnseven,5,7,57
2two4,2,4,24
9xxnhc8vqmrnffmg3,9,3,93
97kqfonefhhc4,9,4,94
8fiveseven9,8,9,89
nine6eight,9,8,98
52five3one2fkmnk,5,2,52
kfdxhkninestttsmtkmkhxbhhxlbxsix3pvdqd1,9,1,91
fourninedhsvphbmhccjcktqsnthree8,4,8,48
fivefive35three5four33,5,3,53
4seven7seventhree6,4,6,46
vfkjpfxltm5xcq5nine825,5,5,55
52onegczcpghmzxvgjglbpjrtseven,5,7,57
5zzlmvl,5,,5
kmsnldpssvdfive519kvmlnthree7,5,7,57
lpkshkvrrl124dpgplnine88,1,8,18
644seven9qdpbpxdlxf,6,9,69
7jqc,7,,7
cbhpmvs7,7,7,77
two7twoonebdmzftjjxrfmsix,2,6,26
5mxxmdzdqdsixfourone,5,1,51
3g6,3,6,36
fglrhqsseventhreefivedpq4,7,4,74
fivefiveglddjbfbk3two51eight,5,8,58
7eightfjqqhljpxgvlghsc9lfqctddsoneninetwo,7,2,72
mllcz8vczcgrbdn41qfglhzsqk,8,1,81
gxstgzqfrfourgkxvnkpgckhnxj7seven,4,7,47
93sevenjzvxc73,9,3,93
63nine135gqdhbnine,6,9,69
ltcgbbxftssixdgtxdpp1kzbhvqt,6,1,61
2z3seven1,2,1,21
4two9qnfrvcbonesixzfr5,4,5,45
twojhlt32,2,2,22
8one2eight,8,8,88
cdjdb4vcvg98,4,8,48
three9nc,3,9,39
qmfjqnsbthree97,3,7,37
fivenine5one,5,1,51
glnine55twoseven,9,7,97
three7k2,3,2,32
437five,4,5,45
svzrgbljxdstwo9six6four,2,4,24
383zseven2eight3xvqvp,3,3,33
6fivegnglqj8tfkfgxkm573seven,6,7,67
twosixltnpgkkr3,2,3,23
7sevenmphlgrdz72j,7,2,72
5nine24,5,4,54
hq9b4fourbgtjjgmzfj6,9,6,96
1sevenczhtpmvmstvvgrbrhptxtlneighttwo4,1,4,14
mbhfpxjbj1xdmvchpztmcxtlqjtk,1,1,11
37hrqnnknjpcmmfhnbbmsps,3,7,37
9fcsix51foursckzjtffvv,9,4,94
gddqlqfourninenine65,4,5,45
tgqvzvcnxs5lffnzhtd,5,5,55
3bqfb8psxv38five,3,5,35
fourcskck3seventhreefour8,4,8,48
six1sevenjdvjkrn6six88,6,8,68
threetwothreeone87jlhgbrtgvdrt,3,7,37
sevenmsldjlpvzhtwosix4threefour,7,4,74
cthhqm2oneeightfour,2,4,24
rpbbnszfxg8ninetbeightfiveqskfzcf,8,5,85
sbjghdfgheight9seven,8,7,87
nfj59pjhrzfourfive,5,5,55
twotwoseven6nxxblhkdxct8,2,8,28
5lgxnqdfiveninedtdonespkvnonelzphcrxr,5,1,51
7qkphfqbbjvninedprb8cgmpcmsz79,7,9,79
fkmhvlvjgczxsllskzdone8,1,8,18
dzjvft8fivecpclmdtwo5453oneightt,8,8,88
6bjbvjgm,6,,6
64ckqzvnjdhnine,6,9,69
four5eightwon,4,2,42
six3vggtzjxtsjfpbqh,6,3,63
7one5,7,5,75
onezccmbfq3,1,3,13
7gseven3seven,7,7,77
nxsevenone6ninep,7,9,79
hmmz2hvmxcmqtsrxdllrnzrgzcx85three,2,3,23
mskcmjfdvxmxlv5dnhhkvhx,5,5,55
krxjnz48sixzpqzppcngmsixb,4,6,46
7threedgsgseveneight,7,8,78
nfhpdbs4988,4,8,48
fournnfsjtwosixtwo2fourcnvdgmcfive,4,5,45
